Image_Path,Wall_Length_Meters,Bricks,Cement_Bags,Sand_Volume_m3
ideathon\images\15_23.jpg,1463.78,256804,878,3513.07
ideathon\images\15_24.jpg,1999.88,350856,1200,4799.71
ideathon\images\15_25.jpg,2416.25,423904,1450,5799.0
ideathon\images\15_26.jpg,1052.25,184605,631,2525.4
ideathon\images\15_27.jpg,1151.33,201988,691,2763.19
ideathon\images\15_28.jpg,2520.06,442116,1512,6048.14
ideathon\images\15_29.jpg,2427.33,425847,1456,5825.59
ideathon\images\15_3.jpg,1363.65,239237,818,3272.76
ideathon\images\15_30.jpg,2005.66,351870,1203,4813.58
ideathon\images\15_4.jpg,2305.53,404479,1383,5533.27
ideathon\images\15_5.jpg,2290.4,401825,1374,5496.96
ideathon\images\15_6.jpg,1003.29,176016,602,2407.9
ideathon\images\15_7.jpg,875.5,153596,525,2101.2
ideathon\images\15_8.jpg,2244.5,393772,1347,5386.8
ideathon\images\15_9.jpg,1069.55,187640,642,2566.92
ideathon\images\16_1.jpg,1966.25,344956,1180,4719.0
ideathon\images\16_10.jpg,2427.3,425842,1456,5825.52
ideathon\images\16_11.jpg,2385.46,418502,1431,5725.1
ideathon\images\16_12.jpg,4975.58,872909,2985,11941.39
ideathon\images\16_13.jpg,2354.39,413051,1413,5650.54
ideathon\images\16_14.jpg,2774.1,486684,1664,6657.84
ideathon\images\16_15.jpg,1492.83,261900,896,3582.79
ideathon\images\16_16.jpg,907.4,159193,544,2177.76
ideathon\images\16_17.jpg,1107.71,194335,665,2658.5
ideathon\images\16_18.jpg,11206.42,1966039,6724,26895.41
ideathon\images\16_19.jpg,2753.48,483067,1652,6608.35
ideathon\images\16_2.jpg,5254.19,921788,3153,12610.06
ideathon\images\16_20.jpg,1780.56,312379,1068,4273.34
ideathon\images\16_21.jpg,2135.55,374658,1281,5125.32
ideathon\images\16_22.jpg,1234.05,216500,740,2961.72
ideathon\images\16_23.jpg,3228.17,566346,1937,7747.61
ideathon\images\16_24.jpg,1182.79,207507,710,2838.7
ideathon\images\16_25.jpg,733.05,128605,440,1759.32
ideathon\images\16_26.jpg,1267.02,222284,760,3040.85
ideathon\images\16_27.jpg,1906.42,334460,1144,4575.41
ideathon\images\16_28.jpg,2241.46,393239,1345,5379.5
ideathon\images\16_29.jpg,1776.86,311730,1066,4264.46
ideathon\images\16_3.jpg,1000.16,175467,600,2400.38
ideathon\images\16_30.jpg,2154.28,377944,1293,5170.27
ideathon\images\16_4.jpg,875.5,153596,525,2101.2
ideathon\images\16_5.jpg,2076.91,364370,1246,4984.58
ideathon\images\16_6.jpg,1036.41,181826,622,2487.38
ideathon\images\16_7.jpg,2386.77,418732,1432,5728.25
ideathon\images\16_8.jpg,1940.48,340435,1164,4657.15
ideathon\images\16_9.jpg,2081.93,365251,1249,4996.63
ideathon\images\17_1.jpg,2520.06,442116,1512,6048.14
ideathon\images\17_10.jpg,704.01,123511,422,1689.62
ideathon\images\17_11.jpg,1030.35,180763,618,2472.84
ideathon\images\17_12.jpg,1017.21,178458,610,2441.3
ideathon\images\17_13.jpg,0.0,0,0,0.0
ideathon\images\17_14.jpg,3105.87,544889,1864,7454.09
ideathon\images\17_15.jpg,1883.9,330509,1130,4521.36
ideathon\images\17_16.jpg,1395.87,244889,838,3350.09
ideathon\images\17_17.jpg,463.31,81282,278,1111.94
ideathon\images\17_18.jpg,1193.18,209330,716,2863.63
ideathon\images\17_19.jpg,1215.73,213286,729,2917.75
ideathon\images\17_2.jpg,1901.21,333546,1141,4562.9
ideathon\images\17_20.jpg,755.56,132554,453,1813.34
ideathon\images\17_21.jpg,1316.63,230988,790,3159.91
ideathon\images\17_22.jpg,2034.85,356991,1221,4883.64
ideathon\images\17_23.jpg,1523.08,267207,914,3655.39
ideathon\images\17_24.jpg,2889.01,506844,1733,6933.62
ideathon\images\17_25.jpg,1094.59,192033,657,2627.02
ideathon\images\17_26.jpg,1596.71,280125,958,3832.1
ideathon\images\17_27.jpg,1271.87,223135,763,3052.49
ideathon\images\17_28.jpg,954.46,167449,573,2290.7
ideathon\images\17_29.jpg,1658.38,290944,995,3980.11
ideathon\images\17_3.jpg,735.45,129026,441,1765.08
ideathon\images\17_30.jpg,1859.74,326270,1116,4463.38
ideathon\images\17_4.jpg,1070.99,187893,643,2570.38
ideathon\images\17_5.jpg,846.15,148447,508,2030.76
ideathon\images\17_6.jpg,2292.76,402239,1376,5502.62
ideathon\images\17_7.jpg,962.67,168889,578,2310.41
ideathon\images\17_8.jpg,2064.01,362107,1238,4953.62
ideathon\images\17_9.jpg,0.0,0,0,0.0
ideathon\images\18_1.jpg,562.8,98737,338,1350.72
ideathon\images\18_10.jpg,1568.42,275161,941,3764.21
ideathon\images\18_11.jpg,625.57,109749,375,1501.37
ideathon\images\18_12.jpg,710.82,124705,426,1705.97
ideathon\images\18_13.jpg,683.04,119832,410,1639.3
ideathon\images\18_14.jpg,263.0,46140,158,631.2
ideathon\images\18_15.jpg,491.91,86300,295,1180.58
ideathon\images\18_16.jpg,472.51,82896,284,1134.02
ideathon\images\18_17.jpg,852.36,149537,511,2045.66
ideathon\images\18_18.jpg,1564.61,274493,939,3755.06
ideathon\images\18_19.jpg,1101.33,193216,661,2643.19
ideathon\images\18_2.jpg,555.67,97486,333,1333.61
ideathon\images\18_20.jpg,302.11,53002,181,725.06
ideathon\images\18_21.jpg,540.65,94851,324,1297.56
ideathon\images\18_22.jpg,542.58,95189,326,1302.19
ideathon\images\18_23.jpg,440.0,77193,264,1056.0
ideathon\images\18_24.jpg,764.12,134056,458,1833.89
ideathon\images\18_25.jpg,353.82,62074,212,849.17
ideathon\images\18_26.jpg,604.42,106039,363,1450.61
ideathon\images\18_27.jpg,483.85,84886,290,1161.24
ideathon\images\18_28.jpg,502.45,88149,301,1205.88
ideathon\images\18_29.jpg,430.6,75544,258,1033.44
ideathon\images\18_3.jpg,371.22,65126,223,890.93
ideathon\images\18_30.jpg,1170.6,205368,702,2809.44
ideathon\images\18_4.jpg,1089.33,191111,654,2614.39
ideathon\images\18_5.jpg,409.35,71816,246,982.44
ideathon\images\18_6.jpg,518.05,90886,311,1243.32
ideathon\images\18_7.jpg,673.5,118158,404,1616.4
ideathon\images\18_8.jpg,336.3,59000,202,807.12
ideathon\images\18_9.jpg,475.46,83414,285,1141.1
ideathon\images\19_1.jpg,1855.58,325540,1113,4453.39
ideathon\images\19_10.jpg,2040.15,357921,1224,4896.36
ideathon\images\19_11.jpg,9387.78,1646979,5633,22530.67
ideathon\images\19_12.jpg,3598.72,631354,2159,8636.93
ideathon\images\19_13.jpg,2114.45,370956,1269,5074.68
ideathon\images\19_14.jpg,4927.73,864514,2957,11826.55
ideathon\images\19_15.jpg,1177.11,206511,706,2825.06
ideathon\images\19_16.jpg,925.78,162418,555,2221.87
ideathon\images\19_17.jpg,1619.82,284179,972,3887.57
ideathon\images\19_18.jpg,1348.37,236556,809,3236.09
ideathon\images\19_19.jpg,1360.7,238719,816,3265.68
ideathon\images\19_2.jpg,1682.56,295186,1010,4038.14
ideathon\images\19_20.jpg,2100.03,368426,1260,5040.07
ideathon\images\19_21.jpg,1216.69,213454,730,2920.06
ideathon\images\19_22.jpg,9468.61,1661160,5681,22724.66
ideathon\images\19_23.jpg,1079.45,189377,648,2590.68
ideathon\images\19_24.jpg,1201.94,210867,721,2884.66
ideathon\images\19_25.jpg,1908.36,334800,1145,4580.06
ideathon\images\19_26.jpg,1166.31,204616,700,2799.14
ideathon\images\19_27.jpg,1996.97,350346,1198,4792.73
ideathon\images\19_28.jpg,2322.92,407530,1394,5575.01
ideathon\images\19_29.jpg,1473.76,258554,884,3537.02
ideathon\images\19_3.jpg,909.57,159574,546,2182.97
ideathon\images\19_30.jpg,1958.55,343605,1175,4700.52
ideathon\images\19_4.jpg,2661.18,466874,1597,6386.83
ideathon\images\19_5.jpg,10393.89,1823489,6236,24945.34
ideathon\images\19_6.jpg,2795.99,490525,1678,6710.38
ideathon\images\19_7.jpg,3411.59,598525,2047,8187.82
ideathon\images\19_8.jpg,2435.92,427354,1462,5846.21
ideathon\images\19_9.jpg,1258.12,220723,755,3019.49
ideathon\images\1_1.jpg,4111.76,721361,2467,9868.22
ideathon\images\1_10.jpg,2013.82,353302,1208,4833.17
ideathon\images\1_11.jpg,2672.76,468905,1604,6414.62
ideathon\images\1_12.jpg,3094.37,542872,1857,7426.49
ideathon\images\1_13.jpg,1036.27,181802,622,2487.05
ideathon\images\1_14.jpg,1214.07,212995,728,2913.77
ideathon\images\1_15.jpg,1144.3,200754,687,2746.32
ideathon\images\1_16.jpg,1112.02,195091,667,2668.85
ideathon\images\1_17.jpg,3680.56,645712,2208,8833.34
ideathon\images\1_18.jpg,1978.83,347163,1187,4749.19
ideathon\images\1_19.jpg,1116.93,195953,670,2680.63
ideathon\images\1_2.jpg,1338.16,234765,803,3211.58
ideathon\images\1_20.jpg,7285.02,1278074,4371,17484.05
ideathon\images\1_21.jpg,2105.9,369456,1264,5054.16
ideathon\images\1_22.jpg,1253.88,219979,752,3009.31
ideathon\images\1_23.jpg,2162.67,379416,1298,5190.41
ideathon\images\1_24.jpg,1645.97,288767,988,3950.33
ideathon\images\1_25.jpg,2072.07,363521,1243,4972.97
ideathon\images\1_26.jpg,1265.9,222088,760,3038.16
ideathon\images\1_27.jpg,2910.68,510646,1746,6985.63
ideathon\images\1_28.jpg,1546.21,271265,928,3710.9
ideathon\images\1_29.jpg,992.88,174189,596,2382.91
ideathon\images\1_3.jpg,2294.01,402458,1376,5505.62
ideathon\images\1_30.jpg,1521.22,266881,913,3650.93
ideathon\images\1_4.jpg,1528.31,268125,917,3667.94
ideathon\images\1_5.jpg,1364.81,239440,819,3275.54
ideathon\images\1_6.jpg,1322.43,232005,793,3173.83
ideathon\images\1_7.jpg,1736.74,304691,1042,4168.18
ideathon\images\1_8.jpg,2234.12,391951,1340,5361.89
ideathon\images\1_9.jpg,1811.14,317744,1087,4346.74
ideathon\images\20_1.jpg,1770.78,310663,1062,4249.87
ideathon\images\20_10.jpg,4111.76,721361,2467,9868.22
ideathon\images\20_11.jpg,1392.23,244251,835,3341.35
ideathon\images\20_12.jpg,1126.21,197581,676,2702.9
ideathon\images\20_13.jpg,1780.67,312398,1068,4273.61
ideathon\images\20_14.jpg,1826.62,320460,1096,4383.89
ideathon\images\20_15.jpg,2322.49,407454,1393,5573.98
ideathon\images\20_16.jpg,1923.6,337474,1154,4616.64
ideathon\images\20_17.jpg,2427.05,425798,1456,5824.92
ideathon\images\20_18.jpg,2742.09,481068,1645,6581.02
ideathon\images\20_19.jpg,3437.03,602988,2062,8248.87
ideathon\images\20_2.jpg,1363.65,239237,818,3272.76
ideathon\images\20_20.jpg,2318.8,406807,1391,5565.12
ideathon\images\20_21.jpg,1463.78,256804,878,3513.07
ideathon\images\20_22.jpg,1999.88,350856,1200,4799.71
ideathon\images\20_23.jpg,2416.25,423904,1450,5799.0
ideathon\images\20_24.jpg,1151.33,201988,691,2763.19
ideathon\images\20_25.jpg,2005.66,351870,1203,4813.58
ideathon\images\20_26.jpg,1080.81,189616,648,2593.94
ideathon\images\20_27.jpg,1087.15,190728,652,2609.16
ideathon\images\20_28.jpg,673.43,118146,404,1616.23
ideathon\images\20_29.jpg,2897.14,508270,1738,6953.14
ideathon\images\20_3.jpg,2624.11,460370,1574,6297.86
ideathon\images\20_30.jpg,3586.16,629151,2152,8606.78
ideathon\images\20_4.jpg,1866.6,327474,1120,4479.84
ideathon\images\20_5.jpg,996.18,174768,598,2390.83
ideathon\images\20_6.jpg,371.22,65126,223,890.93
ideathon\images\20_7.jpg,1300.54,228165,780,3121.3
ideathon\images\20_8.jpg,1688.03,296146,1013,4051.27
ideathon\images\20_9.jpg,1681.14,294937,1009,4034.74
ideathon\images\21_1.jpg,2572.37,451293,1543,6173.69
ideathon\images\21_10.jpg,1940.48,340435,1164,4657.15
ideathon\images\21_11.jpg,1681.14,294937,1009,4034.74
ideathon\images\21_12.jpg,4111.76,721361,2467,9868.22
ideathon\images\21_13.jpg,1126.21,197581,676,2702.9
ideathon\images\21_14.jpg,1826.62,320460,1096,4383.89
ideathon\images\21_15.jpg,2322.49,407454,1393,5573.98
ideathon\images\21_16.jpg,2293.07,402293,1376,5503.37
ideathon\images\21_17.jpg,2427.05,425798,1456,5824.92
ideathon\images\21_18.jpg,2742.09,481068,1645,6581.02
ideathon\images\21_19.jpg,3437.03,602988,2062,8248.87
ideathon\images\21_2.jpg,2035.89,357174,1222,4886.14
ideathon\images\21_20.jpg,2318.8,406807,1391,5565.12
ideathon\images\21_21.jpg,1463.78,256804,878,3513.07
ideathon\images\21_22.jpg,1999.88,350856,1200,4799.71
ideathon\images\21_23.jpg,2520.06,442116,1512,6048.14
ideathon\images\21_24.jpg,1080.81,189616,648,2593.94
ideathon\images\21_25.jpg,673.43,118146,404,1616.23
ideathon\images\21_26.jpg,2897.14,508270,1738,6953.14
ideathon\images\21_27.jpg,2233.67,391872,1340,5360.81
ideathon\images\21_28.jpg,2602.21,456528,1561,6245.3
ideathon\images\21_29.jpg,1613.14,283007,968,3871.54
ideathon\images\21_3.jpg,1003.29,176016,602,2407.9
ideathon\images\21_30.jpg,1953.42,342705,1172,4688.21
ideathon\images\21_4.jpg,2624.11,460370,1574,6297.86
ideathon\images\21_5.jpg,875.5,153596,525,2101.2
ideathon\images\21_6.jpg,2076.91,364370,1246,4984.58
ideathon\images\21_7.jpg,1109.05,194570,665,2661.72
ideathon\images\21_8.jpg,2386.77,418732,1432,5728.25
ideathon\images\21_9.jpg,1300.54,228165,780,3121.3
ideathon\images\22_1.jpg,5632.67,988188,3380,13518.41
ideathon\images\22_10.jpg,1384.28,242856,831,3322.27
ideathon\images\22_11.jpg,1188.58,208523,713,2852.59
ideathon\images\22_12.jpg,4431.5,777456,2659,10635.6
ideathon\images\22_13.jpg,1360.24,238639,816,3264.58
ideathon\images\22_14.jpg,5771.0,1012456,3463,13850.4
ideathon\images\22_15.jpg,1887.15,331079,1132,4529.16
ideathon\images\22_16.jpg,5274.3,925316,3165,12658.32
ideathon\images\22_17.jpg,1030.19,180735,618,2472.46
ideathon\images\22_18.jpg,800.54,140446,480,1921.3
ideathon\images\22_19.jpg,735.45,129026,441,1765.08
ideathon\images\22_2.jpg,4975.58,872909,2985,11941.39
ideathon\images\22_20.jpg,1000.08,175453,600,2400.19
ideathon\images\22_21.jpg,1586.94,278411,952,3808.66
ideathon\images\22_22.jpg,3322.31,582861,1993,7973.54
ideathon\images\22_23.jpg,666.81,116984,400,1600.34
ideathon\images\22_24.jpg,716.52,125705,430,1719.65
ideathon\images\22_25.jpg,2707.94,475077,1625,6499.06
ideathon\images\22_26.jpg,1732.94,304025,1040,4159.06
ideathon\images\22_27.jpg,2114.45,370956,1269,5074.68
ideathon\images\22_28.jpg,538.18,94418,323,1291.63
ideathon\images\22_29.jpg,1207.46,211835,724,2897.9
ideathon\images\22_3.jpg,961.44,168674,577,2307.46
ideathon\images\22_30.jpg,4168.2,731263,2501,10003.68
ideathon\images\22_4.jpg,1106.63,194146,664,2655.91
ideathon\images\22_5.jpg,928.16,162835,557,2227.58
ideathon\images\22_6.jpg,907.4,159193,544,2177.76
ideathon\images\22_7.jpg,1242.67,218012,746,2982.41
ideathon\images\22_8.jpg,1391.82,244179,835,3340.37
ideathon\images\22_9.jpg,1062.81,186458,638,2550.74
ideathon\images\23_1.jpg,4775.41,837791,2865,11460.98
ideathon\images\23_10.jpg,1603.8,281368,962,3849.12
ideathon\images\23_11.jpg,846.75,148553,508,2032.2
ideathon\images\23_12.jpg,680.78,119435,408,1633.87
ideathon\images\23_13.jpg,1887.93,331216,1133,4531.03
ideathon\images\23_14.jpg,1528.31,268125,917,3667.94
ideathon\images\23_15.jpg,1341.35,235325,805,3219.24
ideathon\images\23_16.jpg,2175.92,381740,1306,5222.21
ideathon\images\23_17.jpg,920.83,161549,552,2209.99
ideathon\images\23_18.jpg,2110.11,370195,1266,5064.26
ideathon\images\23_19.jpg,636.0,111579,382,1526.4
ideathon\images\23_2.jpg,2624.11,460370,1574,6297.86
ideathon\images\23_20.jpg,409.35,71816,246,982.44
ideathon\images\23_21.jpg,673.5,118158,404,1616.4
ideathon\images\23_22.jpg,735.45,129026,441,1765.08
ideathon\images\23_23.jpg,1571.75,275746,943,3772.2
ideathon\images\23_24.jpg,615.98,108067,370,1478.35
ideathon\images\23_25.jpg,1944.28,341102,1167,4666.27
ideathon\images\23_26.jpg,1111.86,195063,667,2668.46
ideathon\images\23_27.jpg,983.17,172486,590,2359.61
ideathon\images\23_28.jpg,2330.06,408782,1398,5592.14
ideathon\images\23_29.jpg,1070.51,187809,642,2569.22
ideathon\images\23_3.jpg,1126.21,197581,676,2702.9
ideathon\images\23_30.jpg,479.39,84104,288,1150.54
ideathon\images\23_4.jpg,1780.67,312398,1068,4273.61
ideathon\images\23_5.jpg,1826.62,320460,1096,4383.89
ideathon\images\23_6.jpg,2427.05,425798,1456,5824.92
ideathon\images\23_7.jpg,2318.8,406807,1391,5565.12
ideathon\images\23_8.jpg,673.43,118146,404,1616.23
ideathon\images\23_9.jpg,645.1,113175,387,1548.24
ideathon\images\26_1.jpg,1216.58,213435,730,2919.79
ideathon\images\26_10.jpg,1826.62,320460,1096,4383.89
ideathon\images\26_11.jpg,2322.49,407454,1393,5573.98
ideathon\images\26_12.jpg,1923.6,337474,1154,4616.64
ideathon\images\26_13.jpg,2427.05,425798,1456,5824.92
ideathon\images\26_14.jpg,2742.09,481068,1645,6581.02
ideathon\images\26_15.jpg,3437.03,602988,2062,8248.87
ideathon\images\26_16.jpg,1463.78,256804,878,3513.07
ideathon\images\26_17.jpg,1999.88,350856,1200,4799.71
ideathon\images\26_18.jpg,2416.25,423904,1450,5799.0
ideathon\images\26_19.jpg,1080.81,189616,648,2593.94
ideathon\images\26_2.jpg,1003.29,176016,602,2407.9
ideathon\images\26_20.jpg,1087.15,190728,652,2609.16
ideathon\images\26_21.jpg,2233.67,391872,1340,5360.81
ideathon\images\26_22.jpg,2602.21,456528,1561,6245.3
ideathon\images\26_23.jpg,1953.42,342705,1172,4688.21
ideathon\images\26_24.jpg,1848.1,324228,1109,4435.44
ideathon\images\26_25.jpg,1338.16,234765,803,3211.58
ideathon\images\26_26.jpg,1603.8,281368,962,3849.12
ideathon\images\26_27.jpg,1145.2,200912,687,2748.48
ideathon\images\26_28.jpg,726.62,127477,436,1743.89
ideathon\images\26_29.jpg,2173.69,381349,1304,5216.86
ideathon\images\26_3.jpg,2624.11,460370,1574,6297.86
ideathon\images\26_30.jpg,1319.19,231437,792,3166.06
ideathon\images\26_4.jpg,996.18,174768,598,2390.83
ideathon\images\26_5.jpg,1109.05,194570,665,2661.72
ideathon\images\26_6.jpg,1300.54,228165,780,3121.3
ideathon\images\26_7.jpg,1688.03,296146,1013,4051.27
ideathon\images\26_8.jpg,1126.21,197581,676,2702.9
ideathon\images\26_9.jpg,1780.67,312398,1068,4273.61
ideathon\images\27_1.jpg,983.77,172591,590,2361.05
ideathon\images\27_10.jpg,996.18,174768,598,2390.83
ideathon\images\27_11.jpg,2244.5,393772,1347,5386.8
ideathon\images\27_12.jpg,1069.55,187640,642,2566.92
ideathon\images\27_13.jpg,1400.87,245767,841,3362.09
ideathon\images\27_14.jpg,1239.46,217449,744,2974.7
ideathon\images\27_15.jpg,1109.05,194570,665,2661.72
ideathon\images\27_16.jpg,2099.55,368342,1260,5038.92
ideathon\images\27_17.jpg,2386.77,418732,1432,5728.25
ideathon\images\27_18.jpg,1300.54,228165,780,3121.3
